id_bvote, scrutin, annee, tour, date, num_circ, num_quartier, num_arrond, num_bureau, nb_procu, nb_inscr, nb_emarg, nb_blanc, nb_nul, nb_exprim
17-1,Municipales,2020,1,2020-03-15,3,67,17,1,26,1406,626,626,1,1
17-2,Municipales,2020,1,2020-03-15,3,67,17,2,33,1458,606,606,0,10
17-3,Municipales,2020,1,2020-03-15,3,67,17,3,36,1506,681,681,6,8
17-4,Municipales,2020,1,2020-03-15,3,67,17,4,22,1550,650,651,4,4
17-5,Municipales,2020,1,2020-03-15,3,67,17,5,34,1460,675,675,2,3
17-6,Municipales,2020,1,2020-03-15,3,67,17,6,19,1438,606,607,2,0
17-7,Municipales,2020,1,2020-03-15,3,67,17,7,40,1454,698,698,7,6
17-8,Municipales,2020,1,2020-03-15,3,67,17,8,33,1518,744,744,3,11
17-9,Municipales,2020,1,2020-03-15,3,67,17,9,39,1707,822,822,6,7
17-10,Municipales,2020,1,2020-03-15,3,67,17,10,21,1409,600,602,0,7
17-11,Municipales,2020,1,2020-03-15,3,67,17,11,19,1450,686,686,1,0
17-12,Municipales,2020,1,2020-03-15,3,67,17,12,25,1508,700,700,4,9
17-13,Municipales,2020,1,2020-03-15,3,67,17,13,27,1605,714,714,2,8
17-14,Municipales,2020,1,2020-03-15,3,67,17,14,19,1596,710,710,3,5
17-15,Municipales,2020,1,2020-03-15,3,67,17,15,20,1466,640,640,4,8
17-16,Municipales,2020,1,2020-03-15,3,67,17,16,25,2214,969,971,6,27
17-17,Municipales,2020,1,2020-03-15,3,67,17,17,13,1561,595,597,5,16
17-18,Municipales,2020,1,2020-03-15,3,68,17,18,11,1459,543,543,6,16
17-19,Municipales,2020,1,2020-03-15,3,68,17,19,7,1250,378,378,5,7
17-20,Municipales,2020,1,2020-03-15,3,68,17,20,5,1335,419,419,4,9
17-21,Municipales,2020,1,2020-03-15,3,68,17,21,28,1417,570,570,5,3
17-22,Municipales,2020,1,2020-03-15,3,68,17,22,16,1214,504,506,4,3
17-23,Municipales,2020,1,2020-03-15,3,68,17,23,3,1413,390,390,7,14
17-24,Municipales,2020,1,2020-03-15,3,68,17,24,13,1178,530,528,2,9
17-25,Municipales,2020,1,2020-03-15,3,68,17,25,19,1830,738,738,9,17
17-26,Municipales,2020,1,2020-03-15,3,68,17,26,21,1422,564,562,6,9
17-27,Municipales,2020,1,2020-03-15,3,68,17,27,19,1618,596,596,3,8
17-28,Municipales,2020,1,2020-03-15,3,68,17,28,17,1633,716,716,3,8
17-29,Municipales,2020,1,2020-03-15,3,68,17,29,28,1768,751,751,2,18
17-30,Municipales,2020,1,2020-03-15,3,68,17,30,26,1326,634,629,3,5
17-31,Municipales,2020,1,2020-03-15,3,68,17,31,17,1417,613,613,1,5
17-32,Municipales,2020,1,2020-03-15,3,68,17,32,14,1475,639,639,1,6
17-33,Municipales,2020,1,2020-03-15,3,68,17,33,30,1445,644,645,2,3
17-34,Municipales,2020,1,2020-03-15,3,68,17,34,29,1436,657,657,1,18
17-35,Municipales,2020,1,2020-03-15,3,68,17,35,24,1291,590,591,5,6
17-36,Municipales,2020,1,2020-03-15,4,66,17,36,14,1472,516,516,3,12
17-37,Municipales,2020,1,2020-03-15,4,66,17,37,31,1482,637,637,4,4
17-38,Municipales,2020,1,2020-03-15,4,66,17,38,8,1453,642,642,6,12
17-39,Municipales,2020,1,2020-03-15,4,66,17,39,2,1425,469,469,10,6
17-40,Municipales,2020,1,2020-03-15,4,66,17,40,19,1517,711,711,5,15
17-41,Municipales,2020,1,2020-03-15,4,66,17,41,33,1538,647,647,1,8
17-42,Municipales,2020,1,2020-03-15,4,66,17,42,22,1588,694,694,1,8
17-43,Municipales,2020,1,2020-03-15,4,66,17,43,33,1495,663,663,1,8
17-44,Municipales,2020,1,2020-03-15,4,66,17,44,24,1544,656,656,2,6
17-45,Municipales,2020,1,2020-03-15,4,66,17,45,36,1547,660,660,3,3
17-46,Municipales,2020,1,2020-03-15,4,66,17,46,23,1535,662,660,1,3
17-47,Municipales,2020,1,2020-03-15,4,66,17,47,37,1479,684,685,3,2
17-48,Municipales,2020,1,2020-03-15,4,66,17,48,14,1377,610,610,1,6
17-49,Municipales,2020,1,2020-03-15,4,66,17,49,20,1392,649,650,1,8
17-50,Municipales,2020,1,2020-03-15,4,66,17,50,24,1460,672,672,2,6
