id_bvote, scrutin, annee, tour, date, num_circ, num_quartier, num_arrond, num_bureau, nb_procu, nb_inscr, nb_emarg, nb_blanc, nb_nul, nb_exprim
13-1,Municipales,2020,2,2020-06-28,9,49,13,1,39,1691,682,682,17,5
13-2,Municipales,2020,2,2020-06-28,9,49,13,2,26,1431,514,514,10,4
13-3,Municipales,2020,2,2020-06-28,9,49,13,3,36,1625,598,598,14,11
13-4,Municipales,2020,2,2020-06-28,9,49,13,4,14,1193,371,371,14,9
13-5,Municipales,2020,2,2020-06-28,9,49,13,5,27,1540,562,564,9,7
13-6,Municipales,2020,2,2020-06-28,9,49,13,6,31,1229,451,451,7,4
13-7,Municipales,2020,2,2020-06-28,9,49,13,7,33,1637,520,520,16,10
13-8,Municipales,2020,2,2020-06-28,9,50,13,8,21,1458,526,526,13,5
13-9,Municipales,2020,2,2020-06-28,9,50,13,9,22,1310,439,439,14,9
13-10,Municipales,2020,2,2020-06-28,9,50,13,10,9,1268,433,433,8,5
13-11,Municipales,2020,2,2020-06-28,9,50,13,11,9,1486,483,483,16,13
13-12,Municipales,2020,2,2020-06-28,9,50,13,12,16,1420,437,437,9,5
13-13,Municipales,2020,2,2020-06-28,9,50,13,13,32,1642,647,647,19,9
13-14,Municipales,2020,2,2020-06-28,9,50,13,14,6,1435,467,467,7,13
13-15,Municipales,2020,2,2020-06-28,9,50,13,15,13,1722,463,463,6,7
13-16,Municipales,2020,2,2020-06-28,9,50,13,16,20,1933,606,606,19,6
13-17,Municipales,2020,2,2020-06-28,9,50,13,17,24,1654,561,561,10,6
13-18,Municipales,2020,2,2020-06-28,9,50,13,18,12,1519,481,481,10,7
13-19,Municipales,2020,2,2020-06-28,9,50,13,19,11,1813,474,474,5,8
13-20,Municipales,2020,2,2020-06-28,9,50,13,20,5,1873,453,453,4,9
13-21,Municipales,2020,2,2020-06-28,9,50,13,21,4,1615,369,369,9,5
13-22,Municipales,2020,2,2020-06-28,9,50,13,22,8,1605,415,415,11,9
13-23,Municipales,2020,2,2020-06-28,9,50,13,23,14,1473,501,501,6,5
13-24,Municipales,2020,2,2020-06-28,9,50,13,24,10,1447,422,422,12,8
13-25,Municipales,2020,2,2020-06-28,9,50,13,25,15,1752,494,494,5,6
13-26,Municipales,2020,2,2020-06-28,9,50,13,26,31,1695,631,631,14,7
13-27,Municipales,2020,2,2020-06-28,9,50,13,27,16,1758,612,612,17,10
13-28,Municipales,2020,2,2020-06-28,9,50,13,28,34,1748,677,677,19,4
13-29,Municipales,2020,2,2020-06-28,9,50,13,29,12,1336,381,381,16,12
13-30,Municipales,2020,2,2020-06-28,9,50,13,30,30,1674,605,605,17,12
13-31,Municipales,2020,2,2020-06-28,9,50,13,31,30,1342,542,542,12,9
13-32,Municipales,2020,2,2020-06-28,9,50,13,32,26,1668,503,503,25,9
13-33,Municipales,2020,2,2020-06-28,9,49,13,33,3,701,144,144,4,4
13-34,Municipales,2020,2,2020-06-28,9,50,13,34,18,1920,731,731,20,8
13-35,Municipales,2020,2,2020-06-28,10,51,13,35,17,1230,427,427,8,5
13-36,Municipales,2020,2,2020-06-28,10,51,13,36,28,1419,573,573,12,6
13-37,Municipales,2020,2,2020-06-28,10,51,13,37,31,1723,472,472,13,7
13-38,Municipales,2020,2,2020-06-28,10,51,13,38,11,1434,444,444,2,7
13-39,Municipales,2020,2,2020-06-28,10,51,13,39,10,1806,504,504,11,9
13-40,Municipales,2020,2,2020-06-28,10,51,13,40,17,1635,675,676,8,8
13-41,Municipales,2020,2,2020-06-28,10,51,13,41,33,1814,606,606,13,12
13-42,Municipales,2020,2,2020-06-28,10,51,13,42,1,1525,418,418,12,8
13-43,Municipales,2020,2,2020-06-28,10,51,13,43,48,1778,661,661,8,11
13-44,Municipales,2020,2,2020-06-28,10,51,13,44,15,1474,439,439,12,11
13-45,Municipales,2020,2,2020-06-28,10,51,13,45,22,1411,384,384,7,2
13-46,Municipales,2020,2,2020-06-28,10,51,13,46,21,1680,460,460,14,8
13-47,Municipales,2020,2,2020-06-28,10,51,13,47,29,1791,767,768,20,7
13-48,Municipales,2020,2,2020-06-28,10,51,13,48,20,1749,667,667,11,6
13-49,Municipales,2020,2,2020-06-28,10,51,13,49,26,1699,691,691,17,13
13-50,Municipales,2020,2,2020-06-28,10,51,13,50,47,1685,711,711,13,10
