ID_BVOTE,SCRUTIN,ANNEE,TOUR,DATE,NUM_CIRC,NUM_QUARTIER,NUM_ARROND,NUM_BUREAU,NB_PROCU,NB_INSCR,NB_EMARG,NB_VOTANT,NB_BLANC,NB_NUL,NB_EXPRIM,M. PENG Chang Hua,M. COUMET Jérôme,M. OLIVIER Jean-Baptiste,M. GRÉGOIRE Emmanuel,Mme MAZETIER Sandrine,Mme MONTANDON Valérie,Mme HERVIEU Céline    ,M. GANTZER Gaspard    ,M. LECOQ Jean-Pierre    ,M. FORT Bertil,Mme CORDEBARD Alexandra    ,M. AMELLAL Karim,M. RUPIN Pacôme    ,M. VÉRON Aurélien,M. WEIL Ariel,Mme LEMARDELEY Marie-Christine,Mme BERTHOUT Florence,Mme Garnier Nelly,M. VAUGLIN François,M. POITOUX Guillaume,Mme IBLED Catherine,Mme EVREN Agnès,Mme TORANIAN Anouch,M. VILLANI Cédric,Mme CARRERE-GEE Marie-Claire,M. AZIERE Éric,PETIT Carine,M. SZPINER Francis,Mme SEBBAH Hanna,Mme BUZIN Agnès ,M. BOULARD Geoffroy    ,Mme TAÏEB Karen,M. ROUXEL Olivier,DAGNAUD François,Mme TOUBIANA Marie,LEJOINDRE Eric,BOURNAZEL Pierre-Yves,M. GRANIER Rudolph,M. PLIEZ Eric,M. DIDIER François-Marie,Mme SIMONNET Danielle,Mme CALANDRA Frédérique,Mme D'HAUTESERRE Jeanne,Mme LÉCUYER Catherine   ,Mme MICHEL Athénaïs,Mme SEGOND Sophie    ,M. MAURIN Pierre,Mme BURKLI Delphine,M. NGATCHA Arnaud
13-1,Municipales,2020,2,2020-06-28,9,49,13,1,39,1691,682,682,17,5,660,71.0,423.0,166.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-2,Municipales,2020,2,2020-06-28,9,49,13,2,26,1431,514,514,10,4,500,40.0,328.0,132.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-3,Municipales,2020,2,2020-06-28,9,49,13,3,36,1625,598,598,14,11,573,39.0,398.0,136.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-4,Municipales,2020,2,2020-06-28,9,49,13,4,14,1193,371,371,14,9,348,28.0,214.0,106.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-5,Municipales,2020,2,2020-06-28,9,49,13,5,27,1540,562,564,9,7,548,47.0,369.0,132.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-6,Municipales,2020,2,2020-06-28,9,49,13,6,31,1229,451,451,7,4,440,44.0,289.0,107.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-7,Municipales,2020,2,2020-06-28,9,49,13,7,33,1637,520,520,16,10,494,55.0,324.0,115.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-8,Municipales,2020,2,2020-06-28,9,50,13,8,21,1458,526,526,13,5,508,43.0,346.0,119.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-9,Municipales,2020,2,2020-06-28,9,50,13,9,22,1310,439,439,14,9,416,25.0,287.0,104.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-10,Municipales,2020,2,2020-06-28,9,50,13,10,9,1268,433,433,8,5,420,22.0,256.0,142.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-11,Municipales,2020,2,2020-06-28,9,50,13,11,9,1486,483,483,16,13,454,44.0,273.0,137.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-12,Municipales,2020,2,2020-06-28,9,50,13,12,16,1420,437,437,9,5,423,31.0,262.0,130.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-13,Municipales,2020,2,2020-06-28,9,50,13,13,32,1642,647,647,19,9,619,65.0,439.0,115.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-14,Municipales,2020,2,2020-06-28,9,50,13,14,6,1435,467,467,7,13,447,38.0,271.0,138.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-15,Municipales,2020,2,2020-06-28,9,50,13,15,13,1722,463,463,6,7,450,50.0,284.0,116.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-16,Municipales,2020,2,2020-06-28,9,50,13,16,20,1933,606,606,19,6,581,42.0,393.0,146.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-17,Municipales,2020,2,2020-06-28,9,50,13,17,24,1654,561,561,10,6,545,64.0,351.0,130.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-18,Municipales,2020,2,2020-06-28,9,50,13,18,12,1519,481,481,10,7,464,28.0,302.0,134.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-19,Municipales,2020,2,2020-06-28,9,50,13,19,11,1813,474,474,5,8,461,59.0,267.0,135.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-20,Municipales,2020,2,2020-06-28,9,50,13,20,5,1873,453,453,4,9,440,51.0,237.0,152.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-21,Municipales,2020,2,2020-06-28,9,50,13,21,4,1615,369,369,9,5,355,29.0,186.0,140.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-22,Municipales,2020,2,2020-06-28,9,50,13,22,8,1605,415,415,11,9,395,14.0,264.0,117.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-23,Municipales,2020,2,2020-06-28,9,50,13,23,14,1473,501,501,6,5,490,48.0,315.0,127.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-24,Municipales,2020,2,2020-06-28,9,50,13,24,10,1447,422,422,12,8,402,31.0,263.0,108.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-25,Municipales,2020,2,2020-06-28,9,50,13,25,15,1752,494,494,5,6,483,47.0,294.0,142.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-26,Municipales,2020,2,2020-06-28,9,50,13,26,31,1695,631,631,14,7,610,38.0,402.0,170.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-27,Municipales,2020,2,2020-06-28,9,50,13,27,16,1758,612,612,17,10,585,46.0,419.0,120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-28,Municipales,2020,2,2020-06-28,9,50,13,28,34,1748,677,677,19,4,654,69.0,427.0,158.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-29,Municipales,2020,2,2020-06-28,9,50,13,29,12,1336,381,381,16,12,353,33.0,234.0,86.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-30,Municipales,2020,2,2020-06-28,9,50,13,30,30,1674,605,605,17,12,576,44.0,378.0,154.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-31,Municipales,2020,2,2020-06-28,9,50,13,31,30,1342,542,542,12,9,521,65.0,306.0,150.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-32,Municipales,2020,2,2020-06-28,9,50,13,32,26,1668,503,503,25,9,469,38.0,324.0,107.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-33,Municipales,2020,2,2020-06-28,9,49,13,33,3,701,144,144,4,4,136,15.0,77.0,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-34,Municipales,2020,2,2020-06-28,9,50,13,34,18,1920,731,731,20,8,703,81.0,420.0,202.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-35,Municipales,2020,2,2020-06-28,10,51,13,35,17,1230,427,427,8,5,414,34.0,269.0,111.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-36,Municipales,2020,2,2020-06-28,10,51,13,36,28,1419,573,573,12,6,555,61.0,354.0,140.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-37,Municipales,2020,2,2020-06-28,10,51,13,37,31,1723,472,472,13,7,452,40.0,286.0,126.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-38,Municipales,2020,2,2020-06-28,10,51,13,38,11,1434,444,444,2,7,435,54.0,227.0,154.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-39,Municipales,2020,2,2020-06-28,10,51,13,39,10,1806,504,504,11,9,484,42.0,301.0,141.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-40,Municipales,2020,2,2020-06-28,10,51,13,40,17,1635,675,676,8,8,660,62.0,428.0,170.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-41,Municipales,2020,2,2020-06-28,10,51,13,41,33,1814,606,606,13,12,581,44.0,388.0,149.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-42,Municipales,2020,2,2020-06-28,10,51,13,42,1,1525,418,418,12,8,398,38.0,252.0,108.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-43,Municipales,2020,2,2020-06-28,10,51,13,43,48,1778,661,661,8,11,642,54.0,441.0,147.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-44,Municipales,2020,2,2020-06-28,10,51,13,44,15,1474,439,439,12,11,416,28.0,255.0,133.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-45,Municipales,2020,2,2020-06-28,10,51,13,45,22,1411,384,384,7,2,375,38.0,245.0,92.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-46,Municipales,2020,2,2020-06-28,10,51,13,46,21,1680,460,460,14,8,438,49.0,245.0,144.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-47,Municipales,2020,2,2020-06-28,10,51,13,47,29,1791,767,768,20,7,741,70.0,481.0,190.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-48,Municipales,2020,2,2020-06-28,10,51,13,48,20,1749,667,667,11,6,650,53.0,450.0,147.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-49,Municipales,2020,2,2020-06-28,10,51,13,49,26,1699,691,691,17,13,661,65.0,434.0,162.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
